,площадь,комнаты,цена
0, 75,2,5300000.0
1, 53,2,1590000.0
2, 43,2,2050000.0
3, 44,2,1800000.0
4, 58.4,2,2250000.0
5, 76.6,2,3600000.0
6, 69.9,2,2580000.0
7, 75,2,5300000.0
8, 75,2,2550000.0
9, 65.7,2,2200000.0
10, 65.7,2,2000000.0
11, 46,2,5650000.0
12, 51.9,2,2550000.0
13, 85,2,4189900.0
14, 65.7,2,2620000.0
15, 65.7,2,1750000.0
16, 64.5,2,1800000.0
17, 67,2,1300000.0
18, 67,2,2400000.0
19, 42.7,2,1850000.0
20, 48,2,1550000.0
21, 38.6,2,1600000.0
22, 46.7,2,2250000.0
23, 45,2,2800000.0
24, 42,2,2750000.0
25, 42,2,1700000.0
26, 60,2,1950000.0
27, 47.2,2,2080000.0
28, 65,2,2000000.0
29, 43.2,2,4000000.0
30, 42,2,2200000.0
31, 47,2,2300000.0
32, 42,2,1620000.0
33, 48.6,2,2250000.0
34, 74,2,1920000.0
35, 47.2,2,2000000.0
36, 47,2,2600000.0
37, 42,2,1750000.0
38, 44.3,2,3250000.0
39, 44,2,1900000.0
40, 44,2,2650000.0
41, 51.2,2,4189900.0
42, 42,2,3150000.0
43, 60,2,1800000.0
44, 44,2,2700000.0
45, 49.3,2,1770000.0
46, 64.5,2,4000000.0
47, 60,2,2699000.0
48, 41,2,1880000.0
49, 66,2,1650000.0
50, 42,2,2650000.0
51, 63,2,3550000.0
52, 58,2,2350000.0
53, 58,2,3600000.0
54, 40.5,2,
55, 40.5,2,
56, 53,2,
57, 64,2,
58, 45,2,
59, 45,2,
60, 60,2,
